mode: set
graph/entity/task.go:16.36,17.14 1 1
graph/repository/psql/db.go:55.39,57.2 1 0
graph/repository/psql/db.go:59.26,61.2 1 0
graph/docs/docs.go:368.13,370.2 1 0
graph/service/add_task.go:11.104,20.16 3 1
graph/service/add_task.go:20.16,22.3 1 1
graph/service/add_task.go:24.2,29.8 2 1
graph/service/delete_task.go:10.85,11.75 1 1
graph/service/delete_task.go:11.75,13.3 1 1
graph/service/delete_task.go:15.2,16.16 2 1
graph/service/delete_task.go:16.16,18.3 1 1
graph/service/delete_task.go:20.2,23.16 3 1
graph/service/delete_task.go:23.16,25.3 1 0
graph/service/delete_task.go:27.2,27.12 1 1
graph/service/get_task.go:9.109,11.22 1 1
graph/service/get_task.go:11.22,13.6 1 1
graph/service/get_task.go:15.5,15.25 1 1
graph/service/get_task.go:15.25,17.6 1 1
graph/service/get_task.go:19.5,19.27 1 1
graph/service/get_task.go:19.27,21.6 1 1
graph/service/get_task.go:23.2,24.16 2 1
graph/service/get_task.go:24.16,26.3 1 1
graph/service/get_task.go:28.2,36.11 2 1
graph/service/get_task.go:39.108,41.16 2 1
graph/service/get_task.go:41.16,51.3 1 1
graph/service/get_task.go:53.2,54.16 2 1
graph/service/get_task.go:54.16,56.3 1 1
graph/service/get_task.go:58.2,59.16 2 1
graph/service/get_task.go:59.16,61.3 1 0
graph/service/get_task.go:63.2,71.8 1 1
graph/service/service.go:29.48,31.2 1 1
graph/service/update_task.go:10.112,20.16 3 1
graph/service/update_task.go:20.16,22.3 1 1
graph/service/update_task.go:24.2,25.16 2 1
graph/service/update_task.go:25.16,27.3 1 0
graph/service/update_task.go:29.2,36.8 1 1
graph/repository/redis/redistask/adapter.go:21.33,29.2 2 1
graph/repository/redis/redistask/adapter.go:31.43,33.2 1 0
graph/repository/redis/redistask/delete.go:8.65,12.2 2 1
graph/repository/redis/redistask/get.go:10.77,17.16 4 1
graph/repository/redis/redistask/get.go:17.16,19.3 1 1
graph/repository/redis/redistask/get.go:21.2,22.16 2 1
graph/repository/redis/redistask/get.go:22.16,24.3 1 0
graph/repository/redis/redistask/get.go:26.2,26.18 1 1
graph/repository/redis/redistask/set.go:12.71,16.16 3 1
graph/repository/redis/redistask/set.go:16.16,18.3 1 0
graph/repository/redis/redistask/set.go:20.2,25.9 1 1
